flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
3 BHK Flat,2.3,others,1052.0,21860.0,1 Years Old,1.0,Lowerof 26 floors,Semi Furnished,915.0,3.0,2.0,3.0,Yes
3 BHK Flat,5.35,Khar West,1120.0,47770.0,3 BHK,,Higherof 7 floors,Semi Furnished,,3.0,,0.0,Yes
3 BHK Flat,7.35,Juhu,1466.0,50140.0,1 Years Old,1.0,Higherof 16 floors,Semi Furnished,1222.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.9,Mulund West,693.0,27420.0,2 Year Old,2.0,Higherof 42 floors,Semi Furnished,630.0,2.0,2.0,1.0,Yes
3 BHK Flat,2.45,Mulund West,937.0,26150.0,4 Year Old,4.0,Middleof 42 floors,Semi Furnished,781.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.65,Kandivali East,1000.0,16500.0,2 Year Old,2.0,Middleof 21 floors,Unfurnished,707.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.1,Chembur,1050.0,20000.0,1 Years Old,1.0,Middleof 15 floors,Unfurnished,749.0,2.0,2.0,0.0,Yes
4 BHK Flat,5.25,Govandi,1814.0,28940.0,1 Years Old,1.0,Middleof 19 floors,Unfurnished,1511.0,4.0,4.0,1.0,Yes
2 BHK Flat,2.76,Powai,1200.0,23040.0,1 Years Old,1.0,Higherof 30 floors,Semi Furnished,822.0,2.0,2.0,1.0,Yes
2 BHK Flat,3.0,others,910.0,32970.0,1 Years Old,1.0,Higherof 20 floors,Unfurnished,734.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.0,Mulund West,796.0,25130.0,1 Years Old,1.0,Middleof 48 floors,Semi Furnished,680.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.95,Bhandup West,1250.0,15600.0,4 Year Old,4.0,Middleof 36 floors,Unfurnished,807.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.99,Kanjurmarg West,771.0,25810.0,Ready to move,,unknown,,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.5,Powai,950.0,26320.0,1 Years Old,1.0,Middleof 24 floors,Unfurnished,667.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.4,Sion,1100.0,49090.0,3 Year Old,3.0,Lowerof 40 floors,Semi Furnished,1040.0,3.0,2.0,2.0,Yes
2 BHK Flat,2.75,Powai,1100.0,25000.0,2 Year Old,2.0,Lowerof 20 floors,Semi Furnished,888.0,2.0,2.0,1.0,Yes
2 BHK Flat,0.88,Mira Road East,911.0,9700.0,Ready to move,,unknown,,516.0,2.0,2.0,3.0,Yes
1 BHK Flat,0.7,Mira Road East,650.0,10770.0,Ready to move,,unknown,,420.0,1.0,2.0,3.0,Yes
2 BHK Flat,2.04,Mulund West,778.0,26220.0,2 BHK,,Higherof 58 floors,Unfurnished,778.0,2.0,2.0,1.0,Yes
1 BHK Flat,0.95,Vikhroli East,388.0,24480.0,2 Year Old,2.0,Middleof 22 floors,Unfurnished,350.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.1,Kanjurmarg West,1200.0,17500.0,4 Year Old,4.0,Higherof 36 floors,Semi Furnished,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.78,Kanjurmarg West,661.0,26930.0,4 Year Old,4.0,Middleof 40 floors,Semi Furnished,461.0,2.0,2.0,0.0,Yes
3 BHK Flat,1.7,Mira Road East,1350.0,12590.0,1 Years Old,1.0,Lowerof 30 floors,Semi Furnished,961.0,3.0,3.0,3.0,Yes
3 BHK Flat,4.55,Sion,1660.0,27410.0,3 Year Old,3.0,Higherof 43 floors,Unfurnished,1330.0,3.0,3.0,4.0,Yes
2 BHK Flat,3.5,Mahim,1100.0,31820.0,1 Years Old,1.0,Higherof 30 floors,,725.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.2,Kanjurmarg West,1260.0,17460.0,3 Year Old,3.0,Higherof 36 floors,Unfurnished,771.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.59,Vasai East,990.0,5970.0,2 BHK,,Middleof 33 floors,Unfurnished,670.0,2.0,2.0,3.0,Yes
3 BHK Flat,2.1,Kanjurmarg East,900.0,23330.0,4 Year Old,4.0,Higherof 22 floors,Semi Furnished,784.0,3.0,3.0,0.0,Yes
3 BHK Flat,7.4,Bandra West,1050.0,70480.0,2 Year Old,2.0,Middleof 15 floors,Semi Furnished,1050.0,3.0,3.0,0.0,Yes
3 BHK Flat,2.34,Mulund West,1560.0,15030.0,1 Years Old,1.0,Higherof 40 floors,Semi Furnished,975.0,3.0,3.0,0.0,Yes
1 BHK Flat,1.25,Kurla West,550.0,22730.0,Ready to move,,unknown,,410.0,1.0,1.0,0.0,Yes
1 BHK Flat,0.2,Saphale,575.0,3430.0,1 Years Old,1.0,Lowerof 4 floors,,385.0,1.0,1.0,2.0,no
2 BHK Flat,2.0,Borivali West,950.0,21050.0,1 Years Old,1.0,Middleof 9 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,1.6,Sion,750.0,21330.0,4 Year Old,4.0,Lowerof 43 floors,Semi Furnished,509.0,1.0,1.0,1.0,Yes
1 BHK Flat,0.92,Bhandup West,600.0,15330.0,4 Year Old,4.0,Middleof 22 floors,Fully Furnished,385.0,1.0,1.0,0.0,Yes
3 BHK Flat,1.5,Mira Road East,1150.0,13040.0,Ready to move,,unknown,,1001.0,3.0,3.0,3.0,Yes
1 BHK Flat,0.39,Naigaon East,575.0,6780.0,Ready to move,,unknown,,407.0,1.0,1.0,1.0,Yes
2 BHK Flat,2.79,Powai,835.0,33410.0,2 Year Old,2.0,Lowerof 20 floors,Unfurnished,735.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.39,Virar West,930.0,4190.0,4 Year Old,4.0,Higherof 12 floors,,540.0,2.0,1.0,3.0,Yes
4 BHK Flat,6.4,Borivali East,1800.0,35550.0,1 Years Old,1.0,Middleof 60 floors,Unfurnished,1375.0,4.0,4.0,0.0,Yes
2 BHK Flat,3.2,Borivali East,1125.0,28440.0,3 Year Old,3.0,Middleof 42 floors,Semi Furnished,935.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.6,Wadala,580.0,27590.0,4 Year Old,4.0,Lowerof 44 floors,Unfurnished,455.0,1.0,1.0,1.0,Yes
3 BHK Flat,1.25,Mira Road East,1420.0,8790.0,Ready to move,,unknown,,1010.0,3.0,2.0,3.0,Yes
2 BHK Flat,2.2,Mulund West,930.0,23660.0,Ready to move,,unknown,,780.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.3,Kanjurmarg West,700.0,18570.0,1 Years Old,1.0,Higherof 36 floors,,471.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.87,Mira Road East,911.0,9560.0,Ready to move,,unknown,,647.0,2.0,2.0,2.0,Yes
1 BHK Flat,0.6,Mira Road East,715.0,8450.0,Ready to move,,unknown,,490.0,1.0,2.0,3.0,Yes
6 BHK Flat,23.0,Worli,4000.0,57500.0,1 Years Old,1.0,Lowerof 78 floors,Semi Furnished,,6.0,,0.0,Yes
1 BHK Flat,1.3,Goregaon East,552.0,23550.0,1 BHK,,Higherof 38 floors,Unfurnished,452.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.4,Kandivali West,900.0,26670.0,1 Years Old,1.0,Middleof 21 floors,Unfurnished,733.0,2.0,2.0,0.0,Yes
2 BHK Flat,4.5,Byculla,798.0,56390.0,1 Years Old,1.0,Middleof 67 floors,,798.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.02,Kandivali East,650.0,15690.0,1 BHK,,Higherof 23 floors,Unfurnished,428.0,1.0,2.0,0.0,Yes
1 BHK Flat,1.05,Borivali West,600.0,17500.0,1 Years Old,1.0,Middleof 10 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,4.54,Mulund West,1451.0,31290.0,3 Year Old,3.0,Higherof 45 floors,Semi Furnished,1151.0,3.0,3.0,0.0,Yes
4 BHK Flat,5.15,Vile Parle East,1840.0,27990.0,2 Year Old,2.0,Higherof 8 floors,,,3.0,,0.0,Yes
1 BHK Flat,1.8,Powai,379.0,47490.0,1 Years Old,1.0,Lowerof 21 floors,Semi Furnished,379.0,1.0,2.0,0.0,Yes
2 BHK Flat,3.2,Andheri West,875.0,36570.0,1 Years Old,1.0,Lowerof 20 floors,,750.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.3,Mulund East,559.0,23250.0,1 BHK,,Higherof 18 floors,Unfurnished,430.0,1.0,2.0,0.0,Yes
2 BHK Flat,2.1,Chembur,850.0,24700.0,1 Years Old,1.0,Higherof 19 floors,Semi Furnished,726.0,2.0,1.0,0.0,Yes
3 BHK Flat,5.2,Chembur,1800.0,28890.0,3 Year Old,3.0,Middleof 8 floors,Semi Furnished,1670.0,3.0,2.0,1.0,Yes
1 BHK Flat,0.32,Naigaon East,630.0,5080.0,4 Year Old,4.0,Middleof 14 floors,Unfurnished,418.0,1.0,1.0,3.0,Yes
2 BHK Flat,2.2,Andheri East,950.0,23160.0,2 Year Old,2.0,Lowerof 22 floors,Semi Furnished,700.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.2,Govandi,760.0,28950.0,2 BHK,,Middleof 15 floors,Unfurnished,692.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.24,Mulund West,2450.0,21380.0,1 Years Old,1.0,Middleof 62 floors,Semi Furnished,1926.0,3.0,3.0,1.0,Yes
3 BHK Flat,2.4,Wadala East,820.0,29270.0,1 Years Old,1.0,Middleof 22 floors,Unfurnished,810.0,3.0,3.0,0.0,no
3 BHK Flat,3.25,Ghatkopar East,1150.0,28260.0,3 Year Old,3.0,Middleof 16 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,7.5,Bandra West,1800.0,41670.0,Ready to move,,unknown,,1160.0,3.0,3.0,1.0,Yes
3 BHK Flat,4.3,Chembur,1350.0,31850.0,4 Year Old,4.0,Middleof 13 floors,Semi Furnished,1062.0,3.0,3.0,2.0,Yes
4 BHK Flat,9.36,Wadala,3750.0,24970.0,3 Year Old,3.0,Middleof 60 floors,Semi Furnished,2500.0,4.0,4.0,0.0,Yes
3 BHK Flat,3.9,Kandivali East,1259.0,30980.0,4 Year Old,4.0,Higherof 54 floors,Unfurnished,1049.0,3.0,3.0,1.0,Yes
2 BHK Flat,2.0,Ghatkopar East,879.0,22750.0,1 Years Old,1.0,Middleof 22 floors,Semi Furnished,876.0,2.0,2.0,2.0,Yes
2 BHK Flat,3.75,Parel,740.0,50670.0,2 Year Old,2.0,Middleof 32 floors,Unfurnished,,2.0,1.0,,Yes
2 BHK Flat,2.35,Powai,1050.0,22380.0,4 Year Old,4.0,Higherof 13 floors,Unfurnished,750.0,2.0,1.0,1.0,Yes
3 BHK Flat,6.73,Chembur,2000.0,33640.0,1 Years Old,1.0,Middleof 14 floors,Semi Furnished,1500.0,3.0,3.0,2.0,Yes
2 BHK Flat,2.35,Kandivali West,980.0,23980.0,1 Years Old,1.0,Middleof 23 floors,Unfurnished,880.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.5,Santacruz East,1770.0,31070.0,1 Years Old,1.0,Higherof 16 floors,Unfurnished,1475.0,3.0,3.0,0.0,Yes
3 BHK Flat,3.6,Powai,1520.0,23680.0,4 Year Old,4.0,Middleof 22 floors,Semi Furnished,1050.0,3.0,2.0,1.0,Yes
3 BHK Flat,6.75,Santacruz West,1475.0,45760.0,1 Years Old,1.0,Middleof 13 floors,Semi Furnished,1229.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.35,Mulund East,700.0,19290.0,Ready to move,,unknown,,,2.0,,0.0,Yes
3 BHK Flat,5.4,Chembur,1860.0,29030.0,1 Years Old,1.0,Middleof 14 floors,Semi Furnished,,3.0,1.0,,Yes
2 BHK Flat,2.4,Chembur,1064.0,22560.0,1 Years Old,1.0,Middleof 8 floors,Semi Furnished,760.0,2.0,2.0,0.0,Yes
4 BHK Flat,5.75,Powai,1950.0,29490.0,2 Year Old,2.0,Middleof 20 floors,Semi Furnished,1655.0,4.0,4.0,2.0,Yes
2 BHK Flat,2.62,Powai,1350.0,19410.0,3 Year Old,3.0,Middleof 22 floors,Unfurnished,888.0,2.0,1.0,1.0,Yes
2 BHK Flat,0.59,Virar West,1085.0,5440.0,2 Year Old,2.0,Middleof 14 floors,Semi Furnished,615.0,2.0,2.0,3.0,Yes
1 BHK Flat,0.73,Mira Road East,560.0,13040.0,Ready to move,,unknown,,460.0,1.0,2.0,2.0,no
2 BHK Flat,1.35,Jogeshwari West,889.0,15190.0,1 Years Old,1.0,Lowerof 43 floors,,566.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.0,Kandivali East,650.0,15380.0,3 Year Old,3.0,Middleof 21 floors,Unfurnished,428.0,1.0,2.0,0.0,Yes
1 BHK Flat,1.65,Powai,600.0,27500.0,3 Year Old,3.0,Higherof 23 floors,Semi Furnished,380.0,1.0,1.0,0.0,Yes
2 BHK Flat,1.67,Bhandup West,902.0,18510.0,1 Years Old,1.0,Higherof 21 floors,Semi Furnished,694.0,2.0,2.0,0.0,no
2 BHK Flat,0.42,Virar West,1010.0,4180.0,4 Year Old,4.0,Higherof 15 floors,Semi Furnished,740.0,2.0,1.0,3.0,Yes
3 BHK Flat,12.5,Juhu,2600.0,48080.0,4 Year Old,4.0,Lowerof 16 floors,Semi Furnished,,4.0,4.0,,Yes
1 BHK Flat,0.7,Mira Road East,854.0,8200.0,4 Year Old,4.0,Higherof 12 floors,Semi Furnished,,2.0,2.0,,Yes
2 BHK Flat,1.85,Santacruz East,1000.0,18500.0,4 Year Old,4.0,Higherof 9 floors,Unfurnished,,2.0,2.0,,Yes
2 BHK Flat,3.15,Santacruz East,1000.0,31500.0,1 Years Old,1.0,Higherof 10 floors,,741.0,2.0,2.0,2.0,Yes
3 BHK Flat,2.95,Mulund West,1550.0,19030.0,1 Years Old,1.0,Higherof 19 floors,Unfurnished,1006.0,3.0,3.0,0.0,Yes
3 BHK Flat,2.6,Borivali West,1200.0,21670.0,1 Years Old,1.0,Middleof 20 floors,Unfurnished,,3.0,,0.0,Yes
3 BHK Flat,4.96,Borivali East,1550.0,32000.0,1 Years Old,1.0,Middleof 62 floors,Unfurnished,,3.0,,0.0,Yes
2 BHK Flat,2.7,Govandi,1200.0,22500.0,1 Years Old,1.0,Higherof 16 floors,Semi Furnished,757.0,2.0,2.0,1.0,Yes
1 BHK Flat,0.64,Bhayandar East,710.0,9010.0,1 BHK,,Lowerof 32 floors,Unfurnished,430.0,1.0,2.0,2.0,Yes
1 BHK Flat,0.99,Malad East,400.0,24750.0,Ready to move,,unknown,,333.0,1.0,2.0,0.0,Yes
2 BHK Flat,0.51,Naigaon East,850.0,6000.0,2 Year Old,2.0,Middleof 22 floors,,547.0,2.0,1.0,3.0,Yes
1 BHK Flat,1.3,Kandivali West,672.0,19340.0,1 Years Old,1.0,Middleof 22 floors,Unfurnished,472.0,1.0,2.0,0.0,Yes
2 BHK Flat,1.6,Mulund West,800.0,20000.0,2 Year Old,2.0,Middleof 15 floors,Fully Furnished,578.0,2.0,2.0,0.0,Yes
3 BHK Flat,4.0,Santacruz East,1250.0,32000.0,4 Year Old,4.0,Middleof 15 floors,,943.0,3.0,3.0,0.0,Yes
1 BHK Flat,0.85,Mira Road East,900.0,9440.0,3 Year Old,3.0,Higherof 24 floors,Semi Furnished,650.0,1.0,2.0,2.0,Yes
3 BHK Flat,2.3,Mulund East,1000.0,23000.0,1 Years Old,1.0,Higherof 23 floors,Unfurnished,865.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.6,Bhandup West,800.0,20000.0,1 Years Old,1.0,Higherof 25 floors,Unfurnished,650.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.8,Bhandup West,1000.0,18000.0,4 Year Old,4.0,Middleof 36 floors,Unfurnished,700.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.68,Mira Road East,695.0,9780.0,3 Year Old,3.0,Middleof 12 floors,Semi Furnished,460.0,1.0,2.0,2.0,Yes
1 BHK Flat,1.4,Santacruz East,600.0,23330.0,2 Year Old,2.0,Lowerof 10 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,5.8,Powai,1995.0,29070.0,1 Years Old,1.0,Middleof 20 floors,Semi Furnished,1750.0,3.0,4.0,2.0,Yes
2 BHK Flat,1.75,Kandivali East,620.0,28230.0,2 Year Old,2.0,Higherof 22 floors,Fully Furnished,619.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.2,Mulund West,900.0,24440.0,3 Year Old,3.0,Middleof 39 floors,Semi Furnished,,2.0,,0.0,Yes
1 BHK Flat,1.12,Kandivali East,670.0,16720.0,Ready to move,,unknown,,408.0,1.0,2.0,0.0,Yes
2 BHK Flat,0.83,Mira Road East,950.0,8740.0,1 Years Old,1.0,Higherof 23 floors,Semi Furnished,580.0,2.0,2.0,3.0,no
1 BHK Flat,0.32,Naigaon East,580.0,5520.0,2 Year Old,2.0,Lowerof 22 floors,Unfurnished,400.0,1.0,2.0,1.0,Yes
2 BHK Flat,0.65,Virar West,950.0,6840.0,2 Year Old,2.0,Lowerof 11 floors,,690.0,2.0,2.0,3.0,Yes
2 BHK Flat,1.8,Malad West,926.0,19440.0,1 Years Old,1.0,Middleof 18 floors,Unfurnished,,2.0,2.0,,Yes
2 BHK Flat,0.83,Mira Road East,850.0,9760.0,2 Year Old,2.0,Higherof 22 floors,,650.0,2.0,2.0,3.0,no
1 BHK Flat,1.28,Goregaon East,590.0,21690.0,1 Years Old,1.0,Higherof 15 floors,Unfurnished,399.0,1.0,2.0,0.0,Yes
3 BHK Flat,3.2,Jogeshwari West,1287.0,24860.0,Ready to move,,,Unfurnished,1287.0,3.0,2.0,1.0,Yes
3 BHK Flat,3.4,Powai,1435.0,23690.0,1 Years Old,1.0,,Semi Furnished,990.0,3.0,3.0,1.0,Yes
2 BHK Flat,2.04,Goregaon West,720.0,28330.0,1 Years Old,1.0,Higherof 36 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,1.25,Chembur,600.0,20830.0,3 Year Old,3.0,Higherof 14 floors,Unfurnished,403.0,1.0,2.0,0.0,Yes
1 BHK Flat,1.6,Powai,565.0,28320.0,1 Years Old,1.0,Lowerof 17 floors,Unfurnished,380.0,1.0,2.0,0.0,Yes
3 BHK Flat,3.45,Powai,1300.0,26540.0,2 Year Old,2.0,Higherof 18 floors,Semi Furnished,945.0,3.0,3.0,1.0,Yes
3 BHK Flat,5.5,Powai,1350.0,40740.0,1 Years Old,1.0,Middleof 30 floors,Semi Furnished,1111.0,3.0,3.0,1.0,Yes
2 BHK Flat,2.8,Jogeshwari West,970.0,28860.0,1 Years Old,1.0,Middleof 22 floors,Unfurnished,865.0,2.0,2.0,2.0,Yes
3 BHK Flat,3.8,Santacruz East,1500.0,25330.0,3 Year Old,3.0,Middleof 12 floors,Semi Furnished,,3.0,1.0,,Yes
3 BHK Flat,3.8,Santacruz East,1500.0,25330.0,3 Year Old,3.0,Middleof 12 floors,Semi Furnished,,3.0,1.0,,Yes
3 BHK Flat,1.9,Thane West,1350.0,14070.0,3 Year Old,3.0,Lowerof 30 floors,,1100.0,3.0,3.0,1.0,Yes
3 BHK Flat,4.1,Goregaon West,1300.0,31540.0,1 Years Old,1.0,Higherof 36 floors,Semi Furnished,1088.0,3.0,3.0,1.0,Yes
2 BHK Flat,2.5,Chembur,830.0,30120.0,1 Years Old,1.0,Middleof 14 floors,Semi Furnished,,2.0,1.0,,Yes
4 BHK Flat,3.85,Mulund West,1325.0,29060.0,1 Years Old,1.0,Lowerof 48 floors,Semi Furnished,925.0,4.0,3.0,1.0,Yes
3 BHK Flat,6.3,Bandra West,1150.0,54780.0,2 Year Old,2.0,Middleof 20 floors,,,,,0.0,Yes
4 BHK Flat,16.5,Khar West,2700.0,61110.0,3 Year Old,3.0,Higherof 14 floors,Unfurnished,2250.0,4.0,4.0,1.0,Yes
2 BHK Flat,1.6,Bhandup West,850.0,18820.0,4 Year Old,4.0,Middleof 20 floors,Fully Furnished,620.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.5,Malad West,1250.0,28000.0,1 Years Old,1.0,Lowerof 22 floors,Unfurnished,1000.0,3.0,3.0,0.0,no
2 BHK Flat,2.5,Powai,845.0,29590.0,1 Years Old,1.0,Lowerof 24 floors,Unfurnished,665.0,2.0,2.0,0.0,Yes
4 BHK Flat,6.98,Andheri West,1800.0,38780.0,1 Years Old,1.0,Middleof 25 floors,Unfurnished,,3.0,2.0,,Yes
2 BHK Flat,0.54,Virar West,820.0,6600.0,1 Years Old,1.0,Middleof 19 floors,Semi Furnished,,1.0,3.0,,Yes
3 BHK Flat,5.41,Jogeshwari East,1980.0,27320.0,2 Year Old,2.0,Lowerof 29 floors,Unfurnished,,3.0,1.0,,Yes
2 BHK Flat,2.65,Powai,1000.0,26500.0,1 Years Old,1.0,Higherof 26 floors,Semi Furnished,720.0,2.0,2.0,1.0,Yes
1 BHK Flat,0.29,Nalasopara West,610.0,4840.0,2 Year Old,2.0,Higherof 12 floors,Semi Furnished,415.0,1.0,2.0,1.0,Yes
2 BHK Flat,2.15,Andheri East,1020.0,21080.0,3 Year Old,3.0,Middleof 18 floors,Unfurnished,742.0,2.0,2.0,0.0,Yes
3 BHK Flat,6.1,Byculla,2803.0,21760.0,2 Year Old,2.0,Lowerof 64 floors,Unfurnished,1699.0,3.0,3.0,0.0,Yes
1 BHK Flat,0.62,Mira Road East,685.0,9050.0,1 Years Old,1.0,Higherof 14 floors,Semi Furnished,455.0,1.0,2.0,2.0,Yes
3 BHK Flat,3.25,Chembur,1290.0,25190.0,3 Year Old,3.0,Higherof 15 floors,,1100.0,3.0,3.0,0.0,Yes
2 BHK Flat,2.05,Powai,1050.0,19520.0,1 Years Old,1.0,Middleof 21 floors,Semi Furnished,671.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.52,Powai,630.0,24130.0,1 Years Old,1.0,Middleof 23 floors,Semi Furnished,379.0,1.0,2.0,0.0,Yes
1 BHK Flat,0.89,Malad East,532.0,16730.0,1 BHK,,Middleof 20 floors,Semi Furnished,323.0,1.0,2.0,0.0,no
2 BHK Flat,1.56,Chembur,785.0,19870.0,Ready to move,,unknown,,638.0,2.0,2.0,1.0,Yes
2 BHK Flat,2.01,Andheri West,1050.0,19150.0,Ready to move,,unknown,,678.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.6,Kanjurmarg East,655.0,24430.0,1 Years Old,1.0,Higherof 22 floors,Unfurnished,555.0,2.0,2.0,0.0,Yes
3 BHK Flat,1.6,Thane West,1513.0,10570.0,4 Year Old,4.0,Higherof 30 floors,Semi Furnished,1164.0,3.0,3.0,1.0,Yes
3 BHK Flat,4.8,Goregaon West,1550.0,30970.0,1 Years Old,1.0,Lowerof 19 floors,Unfurnished,1174.0,3.0,4.0,0.0,Yes
3 BHK Flat,8.5,Lower Parel,1450.0,58620.0,4 Year Old,4.0,Lowerof 90 floors,Unfurnished,1350.0,3.0,2.0,1.0,Yes
2 BHK Flat,1.35,Ghatkopar West,750.0,18000.0,1 Years Old,1.0,Higherof 7 floors,Unfurnished,648.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.98,Chembur,585.0,16750.0,1 Years Old,1.0,Higherof 7 floors,Semi Furnished,,1.0,1.0,,Yes
3 BHK Flat,2.7,Kandivali West,1350.0,20000.0,2 Year Old,2.0,Middleof 22 floors,Unfurnished,930.0,3.0,3.0,0.0,Yes
3 BHK Flat,6.0,Parel,1480.0,40540.0,1 Years Old,1.0,Middleof 63 floors,Fully Furnished,1233.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.9,Malad West,1100.0,17270.0,1 Years Old,1.0,Lowerof 36 floors,Unfurnished,734.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.9,Matunga East,495.0,38380.0,2 Year Old,2.0,Lowerof 18 floors,Fully Furnished,,1.0,,0.0,no
1 BHK Flat,0.97,Goregaon West,650.0,14920.0,3 Year Old,3.0,Middleof 7 floors,Unfurnished,,2.0,1.0,,no
2 BHK Flat,4.85,Byculla,1820.0,26650.0,4 Year Old,4.0,Higherof 26 floors,Semi Furnished,,2.0,1.0,,Yes
2 BHK Flat,1.75,Borivali East,800.0,21880.0,Ready to move,,unknown,,780.0,2.0,2.0,1.0,Yes
3 BHK Flat,2.6,Borivali West,799.0,32540.0,Ready to move,,unknown,,799.0,3.0,3.0,3.0,Yes
2 BHK Flat,2.6,Kandivali West,800.0,32500.0,2 BHK,,Higherof 22 floors,Unfurnished,722.0,2.0,3.0,0.0,Yes
3 BHK Flat,3.45,Borivali West,1100.0,31360.0,3 Year Old,3.0,Middleof 20 floors,Unfurnished,950.0,3.0,3.0,0.0,Yes
1 BHK Flat,1.0,Kurla East,550.0,18180.0,1 Years Old,1.0,Lowerof 15 floors,Unfurnished,450.0,1.0,1.0,0.0,Yes
2 BHK Flat,1.8,Andheri East,700.0,25710.0,1 Years Old,1.0,Lowerof 16 floors,Unfurnished,550.0,2.0,2.0,0.0,Yes
4 BHK Flat,15.0,Prabhadevi,2200.0,68180.0,3 Year Old,3.0,Middleof 65 floors,Semi Furnished,2079.0,4.0,4.0,0.0,Yes
2 BHK Flat,1.15,Dahisar West,530.0,21700.0,Ready to move,,unknown,,,2.0,,0.0,no
2 BHK Flat,0.4,Virar West,900.0,4440.0,4 Year Old,4.0,Higherof 12 floors,Semi Furnished,650.0,2.0,1.0,3.0,Yes
3 BHK Flat,6.95,Vile Parle West,1850.0,37570.0,1 Years Old,1.0,Higherof 9 floors,Unfurnished,,4.0,,0.0,Yes
2 BHK Flat,2.8,Andheri East,970.0,28860.0,1 Years Old,1.0,Middleof 14 floors,Unfurnished,746.0,2.0,2.0,3.0,Yes
2 BHK Flat,1.95,Ghatkopar East,784.0,24870.0,1 Years Old,1.0,Higherof 20 floors,Semi Furnished,682.0,2.0,2.0,0.0,no
3 BHK Flat,2.2,Borivali West,1350.0,16300.0,1 Years Old,1.0,Middleof 22 floors,Unfurnished,780.0,3.0,3.0,0.0,Yes
3 BHK Flat,2.48,Andheri East,958.0,25890.0,1 Years Old,1.0,Middleof 18 floors,Unfurnished,858.0,3.0,3.0,0.0,Yes
2 BHK Flat,2.2,Andheri East,1300.0,16920.0,1 Years Old,1.0,Lowerof 8 floors,Semi Furnished,800.0,2.0,2.0,0.0,Yes
2 BHK Flat,4.5,Khar West,1000.0,45000.0,3 Year Old,3.0,Lowerof 10 floors,Unfurnished,750.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.1,Goregaon West,900.0,23330.0,4 Year Old,4.0,Higherof 22 floors,Semi Furnished,,2.0,,0.0,Yes
2 BHK Flat,2.7,Santacruz East,1100.0,24550.0,3 Year Old,3.0,Lowerof 13 floors,Fully Furnished,638.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.2,Kanjurmarg East,1415.0,22610.0,2 Year Old,2.0,Middleof 50 floors,Semi Furnished,1089.0,3.0,3.0,1.0,Yes
3 BHK Flat,2.75,Goregaon West,1200.0,22920.0,2 Year Old,2.0,Middleof 27 floors,Semi Furnished,950.0,3.0,3.0,0.0,Yes
1 BHK Flat,1.57,Powai,550.0,28550.0,4 Year Old,4.0,Higherof 23 floors,Semi Furnished,379.0,1.0,1.0,0.0,Yes
1 BHK Flat,0.55,Vasai East,850.0,6470.0,Ready to move,,unknown,,,1.0,2.0,,Yes
1 BHK Flat,1.25,Mulund East,520.0,24040.0,2 Year Old,2.0,Lowerof 23 floors,Semi Furnished,445.0,1.0,2.0,0.0,Yes
1 BHK Flat,0.75,Mira Road East,850.0,8820.0,2 Year Old,2.0,Lowerof 23 floors,Semi Furnished,490.0,1.0,2.0,0.0,Yes
