flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
2 BHK Flat,1.99,Malad West,950.0,20950.0,1 Years Old,1.0,Lowerof 22 floors,Unfurnished,690.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.6,Powai,630.0,25400.0,1 Years Old,1.0,,Semi Furnished,379.0,1.0,2.0,0.0,Yes
3 BHK Flat,4.46,Vikhroli West,1683.0,26500.0,1 Years Old,1.0,Higherof 34 floors,Unfurnished,,3.0,1.0,,Yes
4 BHK Flat,5.01,Powai,1858.0,26960.0,1 Years Old,1.0,Higherof 30 floors,Unfurnished,1282.0,4.0,5.0,1.0,Yes
2 BHK Flat,3.75,Wadala East,994.0,37730.0,3 Year Old,3.0,Higherof 34 floors,,994.0,2.0,2.0,2.0,Yes
1 BHK Flat,0.98,Bhandup East,710.0,13800.0,1 Years Old,1.0,Middleof 15 floors,Unfurnished,440.0,1.0,1.0,0.0,Yes
2 BHK Flat,3.7,Vile Parle West,1000.0,37000.0,1 Years Old,1.0,Higherof 12 floors,Unfurnished,740.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.95,Bhandup West,875.0,10860.0,2 BHK,,Middleof 40 floors,Unfurnished,525.0,2.0,2.0,0.0,no
1 BHK Flat,0.58,Mira Road East,715.0,8109.999999999999,1 BHK,,Lowerof 25 floors,Semi Furnished,470.0,1.0,2.0,1.0,no
3 BHK Flat,3.75,Chembur,1309.0,28650.0,3 BHK,,Higherof 10 floors,Semi Furnished,1309.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.8,Chembur,635.0,28350.0,2 BHK,,Higherof 10 floors,Semi Furnished,635.0,2.0,2.0,1.0,Yes
2 BHK Flat,2.0,Mulund East,950.0,21050.0,1 Years Old,1.0,Middleof 23 floors,Semi Furnished,675.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.65,Andheri West,1800.0,31390.0,1 Years Old,1.0,Higherof 38 floors,,1350.0,3.0,3.0,0.0,Yes
2 BHK Flat,3.5,Andheri West,1050.0,33330.0,2 Year Old,2.0,Higherof 37 floors,,864.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.4,Chembur,665.0,36090.0,2 BHK,,Middleof 14 floors,Unfurnished,665.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.35,others,939.0,35680.0,Ready to move,,unknown,,939.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.7,Mulund West,1000.0,17000.0,1 Years Old,1.0,Higherof 20 floors,Semi Furnished,615.0,2.0,2.0,0.0,no
3 BHK Flat,8.0,Juhu,1300.0,61540.0,Ready to move,,unknown,,,3.0,3.0,,Yes
3 BHK Flat,3.2,others,841.0,38050.0,3 BHK,,Middleof 20 floors,Unfurnished,841.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.8,Bandra East,596.0,30200.0,2 BHK,,Lowerof 16 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,1.08,Govandi,475.0,22740.0,1 BHK,,Lowerof 21 floors,Unfurnished,475.0,1.0,1.0,0.0,Yes
3 BHK Flat,2.25,Chembur,1000.0,22500.0,1 Years Old,1.0,Middleof 20 floors,Unfurnished,834.0,3.0,2.0,0.0,Yes
1 BHK Flat,1.0,Kandivali East,1050.0,9520.0,1 BHK,,Middleof 39 floors,Semi Furnished,696.0,1.0,2.0,1.0,Yes
3 BHK Flat,3.25,Kandivali East,1300.0,25000.0,Ready to move,,unknown,,1120.0,3.0,3.0,1.0,Yes
2 BHK Flat,3.1,Andheri West,1000.0,31000.0,1 Years Old,1.0,Middleof 20 floors,,800.0,2.0,2.0,0.0,Yes
4 BHK Flat,2.7,Kandivali East,1950.0,13850.0,1 Years Old,1.0,Middleof 40 floors,Semi Furnished,1618.0,4.0,4.0,1.0,Yes
1 BHK Flat,0.23,Mulund West,485.0,4740.0,1 BHK,,Lowerof 3 floors,Unfurnished,,1.0,,,Yes
1 BHK Flat,1.05,Ghatkopar East,430.0,24420.0,1 BHK,,Lowerof 29 floors,Unfurnished,430.0,1.0,2.0,1.0,Yes
1 BHK Flat,1.12,Chembur,550.0,20360.0,4 Year Old,4.0,Higherof 15 floors,Semi Furnished,,1.0,,0.0,no
2 BHK Flat,0.85,Mira Road East,975.0,8710.0,Ready to move,,unknown,,650.0,2.0,2.0,4.0,no
1 BHK Flat,0.52,Mira Road East,720.0,7260.0,1 BHK,,Lowerof 25 floors,Semi Furnished,408.0,1.0,2.0,0.0,no
1 BHK Flat,0.67,Mira Road East,702.0,9600.0,Ready to move,,unknown,,450.0,1.0,2.0,2.0,no
2 BHK Flat,0.94,Mira Road East,599.0,15690.0,Ready to move,,unknown,,599.0,2.0,2.0,0.0,no
2 BHK Flat,1.0,Mira Road East,1061.0,9390.0,Ready to move,,unknown,,608.0,2.0,2.0,3.0,no
1 BHK Flat,0.61,Mira Road East,412.0,14740.0,Ready to move,,unknown,,412.0,1.0,2.0,0.0,no
1 BHK Flat,0.55,Bhayandar East,705.0,7850.0,Ready to move,,unknown,,425.0,1.0,2.0,2.0,no
1 BHK Flat,0.61,Mira Road East,400.0,15170.0,Ready to move,,unknown,,,2.0,,0.0,no
1 BHK Flat,0.61,Mira Road East,730.0,8320.0,1 BHK,,Lowerof 21 floors,Semi Furnished,460.0,1.0,2.0,2.0,no
1 BHK Flat,0.62,Mira Road East,745.0,8330.0,1 BHK,,Lowerof 21 floors,Semi Furnished,470.0,1.0,2.0,2.0,no
2 BHK Flat,0.88,Mira Road East,1010.0,8740.0,2 BHK,,Lowerof 21 floors,Semi Furnished,669.0,2.0,2.0,3.0,no
1 BHK Flat,0.66,Mira Road East,725.0,9100.0,1 BHK,,Lowerof 24 floors,Semi Furnished,416.0,1.0,2.0,0.0,no
1 BHK Flat,1.07,Mulund West,580.0,18450.0,1 Years Old,1.0,Lowerof 31 floors,Semi Furnished,,,,0.0,Yes
2 BHK Flat,1.41,Mulund West,681.0,20700.0,1 Years Old,1.0,Middleof 31 floors,Semi Furnished,,,,0.0,Yes
2 BHK Flat,2.15,Mulund West,758.0,28360.0,Ready to move,,unknown,,,2.0,1.0,,Yes
3 BHK Flat,8.0,Andheri West,1300.0,61540.0,Ready to move,,unknown,,1300.0,3.0,3.0,3.0,Yes
4 BHK Flat,15.0,Andheri West,2250.0,66670.0,Ready to move,,unknown,,2250.0,4.0,4.0,4.0,Yes
3 BHK Flat,1.37,Mira Road East,831.0,16500.0,Ready to move,,unknown,,831.0,3.0,3.0,0.0,no
1 BHK Flat,0.6,Mira Road East,711.0,8510.0,Ready to move,,unknown,,480.0,1.0,2.0,2.0,no
1 BHK Flat,0.6,Mira Road East,360.0,16610.0,Ready to move,,unknown,,360.0,1.0,1.0,0.0,no
3 BHK Flat,1.41,Mira Road East,931.0,15110.0,Ready to move,,unknown,,931.0,3.0,3.0,2.0,no
1 BHK Flat,0.6,Mira Road East,446.0,13490.0,1 BHK,,Lowerof 26 floors,Semi Furnished,446.0,1.0,2.0,0.0,no
1 BHK Flat,0.74,Mira Road East,775.0,9500.0,Ready to move,,unknown,,422.0,1.0,1.0,2.0,no
2 BHK Flat,1.12,Mira Road East,1180.0,9500.0,Ready to move,,unknown,,750.0,2.0,2.0,3.0,no
2 BHK Flat,1.13,Mira Road East,600.0,18860.0,Ready to move,,unknown,,,2.0,,0.0,no
2 BHK Flat,0.84,Mira Road East,1060.0,7900.0,Ready to move,,unknown,,670.0,2.0,2.0,0.0,no
2 BHK Flat,2.45,Kandivali East,986.0,24850.0,Ready to move,,unknown,,688.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.08,Mulund West,585.0,18460.0,1 Years Old,1.0,Lowerof 31 floors,Semi Furnished,,2.0,,0.0,Yes
3 BHK Flat,3.33,Govandi,1300.0,25610.0,Ready to move,,unknown,,1150.0,3.0,2.0,0.0,Yes
2 BHK Flat,1.61,Vikhroli West,579.0,27810.0,2 BHK,,Lowerof 20 floors,Unfurnished,579.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.96,Bhayandar East,580.0,16530.0,2 BHK,,Higherof 29 floors,Semi Furnished,,2.0,3.0,,no
2 BHK Flat,1.64,Kandivali East,1010.0,16239.999999999998,Ready to move,,unknown,,606.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.78,Kandivali East,1125.0,15820.0,Ready to move,,unknown,,701.0,2.0,2.0,0.0,no
2 BHK Flat,2.25,Kandivali East,900.0,25000.0,Ready to move,,unknown,,750.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.03,Mira Road East,1152.0,8980.0,Ready to move,,unknown,,674.0,2.0,2.0,4.0,no
2 BHK Flat,0.93,Mira Road East,1050.0,8860.0,Ready to move,,unknown,,620.0,2.0,2.0,0.0,no
1 BHK Flat,0.58,Mira Road East,558.0,10350.0,Ready to move,,unknown,,301.0,1.0,2.0,0.0,no
2 BHK Flat,1.05,Dahisar East,1105.0,9490.0,Ready to move,,unknown,,624.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.6,Mira Road East,702.0,8600.0,1 BHK,,Middleof 29 floors,Semi Furnished,448.0,1.0,2.0,1.0,no
2 BHK Flat,0.78,Mira Road East,1050.0,7430.0,2 BHK,,Lowerof 25 floors,Semi Furnished,669.0,2.0,2.0,3.0,no
1 BHK Flat,0.63,Mira Road East,720.0,8720.0,1 BHK,,Lowerof 25 floors,Semi Furnished,442.0,1.0,2.0,2.0,no
1 BHK Flat,0.74,Mira Road East,775.0,9550.0,Ready to move,,unknown,,518.0,1.0,2.0,2.0,no
2 BHK Flat,1.55,Chembur,630.0,24600.0,4 Year Old,4.0,Lowerof 15 floors,Semi Furnished,571.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.17,Chembur,426.0,27460.0,1 BHK,,Middleof 12 floors,Semi Furnished,426.0,1.0,2.0,0.0,Yes
4 BHK Flat,6.4,Chembur,1962.0,32620.0,2 Year Old,2.0,Lowerof 8 floors,Unfurnished,,1.0,,,Yes
2 BHK Flat,2.75,Malad East,1345.0,20450.0,2 Year Old,2.0,Higherof 44 floors,Semi Furnished,930.0,2.0,2.0,3.0,Yes
2 BHK Flat,1.12,Mira Road East,1161.0,9690.0,2 BHK,,Middleof 45 floors,Semi Furnished,734.0,2.0,2.0,2.0,no
2 BHK Flat,2.72,Chembur,758.0,35880.0,2 BHK,,Higherof 14 floors,Unfurnished,758.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.96,Chembur,1101.0,35970.0,3 BHK,,Middleof 14 floors,Unfurnished,1101.0,3.0,2.0,0.0,Yes
1 BHK Flat,1.08,Kurla East,426.0,25350.0,1 BHK,,Lowerof 16 floors,,426.0,1.0,1.0,1.0,Yes
2 BHK Flat,1.51,Chembur,604.0,25000.0,2 BHK,,Lowerof 16 floors,Unfurnished,604.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.58,Mira Road East,725.0,8050.000000000001,1 BHK,,Lowerof 21 floors,Semi Furnished,442.0,1.0,2.0,2.0,no
1 BHK Flat,0.61,Mira Road East,730.0,8350.0,1 BHK,,Lowerof 21 floors,Semi Furnished,462.0,1.0,2.0,2.0,no
2 BHK Flat,0.89,Mira Road East,1040.0,8530.0,2 BHK,,Lowerof 21 floors,Semi Furnished,672.0,2.0,2.0,3.0,no
2 BHK Flat,0.89,Mira Road East,1060.0,8400.0,2 BHK,,Lowerof 21 floors,Semi Furnished,675.0,2.0,2.0,3.0,no
2 BHK Flat,2.7,Powai,980.0,27550.0,2 Year Old,2.0,Lowerof 23 floors,Unfurnished,668.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.45,Mulund West,450.0,32220.0,3 Year Old,3.0,Middleof 38 floors,,450.0,1.0,2.0,0.0,Yes
2 BHK Flat,1.86,Mulund West,577.0,32230.0,3 Year Old,3.0,Middleof 38 floors,,577.0,2.0,3.0,0.0,Yes
2 BHK Flat,3.26,Santacruz East,949.0,34350.0,Ready to move,,unknown,,,2.0,,0.0,no
2 BHK Flat,3.06,Santacruz East,893.0,34270.0,Ready to move,,unknown,,,2.0,,0.0,no
3 BHK Flat,2.38,Santacruz East,840.0,28330.0,Ready to move,,unknown,,,3.0,,0.0,Yes
1 BHK Flat,1.2,Santacruz East,438.0,27400.0,Ready to move,,unknown,,365.0,1.0,2.0,0.0,Yes
3 BHK Flat,3.25,Mulund West,1049.0,30980.0,1 Years Old,1.0,Lowerof 62 floors,Unfurnished,1049.0,3.0,3.0,0.0,Yes
2 BHK Flat,2.5,Dadar West,625.0,40000.0,2 BHK,,Lowerof 21 floors,,625.0,2.0,2.0,0.0,Yes
3 BHK Flat,2.99,Chembur,1053.0,28390.0,3 BHK,,Higherof 10 floors,Semi Furnished,1053.0,3.0,3.0,1.0,Yes
2 BHK Flat,0.82,Bhayandar East,996.0,8270.0,2 BHK,,Lowerof 37 floors,Semi Furnished,576.0,2.0,2.0,0.0,no
1 BHK Flat,0.66,Mira Road East,730.0,9000.0,1 Years Old,1.0,Middleof 12 floors,Unfurnished,470.0,1.0,2.0,3.0,no
2 BHK Flat,1.5,Kandivali East,750.0,20000.0,1 Years Old,1.0,Lowerof 40 floors,Semi Furnished,654.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.89,Bhayandar East,1080.0,8250.0,2 BHK,,Higherof 38 floors,Semi Furnished,652.0,2.0,2.0,0.0,no
1 BHK Flat,0.62,Mira Road East,774.0,7990.0,1 BHK,,Lowerof 45 floors,Semi Furnished,,2.0,,0.0,no
2 BHK Flat,0.89,Mira Road East,965.0,9180.0,Ready to move,,unknown,,,2.0,,0.0,no
1 BHK Flat,0.68,Mira Road East,757.0,9000.0,Ready to move,,unknown,,509.0,1.0,2.0,2.0,no
1 BHK Flat,0.78,Mira Road East,520.0,15000.0,1 BHK,,Lowerof 49 floors,Semi Furnished,,2.0,,0.0,no
2 BHK Flat,1.0,Mira Road East,665.0,15000.0,2 BHK,,Higherof 49 floors,Semi Furnished,,2.0,,0.0,no
1 BHK Flat,0.69,Mira Road East,731.0,9390.0,1 BHK,,Lowerof 26 floors,Semi Furnished,446.0,1.0,2.0,0.0,no
2 BHK Flat,1.02,Mira Road East,1050.0,9720.0,2 BHK,,Higherof 26 floors,Semi Furnished,663.0,2.0,2.0,0.0,no
2 BHK Flat,0.85,Mira Road East,850.0,10000.0,2 Year Old,2.0,Higherof 22 floors,,650.0,2.0,2.0,3.0,no
2 BHK Flat,1.67,Kandivali East,890.0,18760.0,1 Years Old,1.0,Middleof 40 floors,Semi Furnished,770.0,2.0,2.0,0.0,Yes
3 BHK Flat,2.7,Kandivali East,1455.0,18560.0,Ready to move,,unknown,,1026.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.86,Kandivali East,1125.0,16560.0,Ready to move,,unknown,,701.0,2.0,2.0,0.0,no
1 BHK Flat,0.64,Bhayandar East,775.0,8250.0,1 BHK,,Higherof 38 floors,Semi Furnished,468.0,1.0,2.0,0.0,no
1 BHK Flat,0.5,Mira Road East,387.0,13000.0,1 BHK,,Middleof 28 floors,Semi Furnished,,2.0,,0.0,no
2 BHK Flat,0.68,Mira Road East,548.0,12330.0,2 BHK,,Higherof 28 floors,Semi Furnished,,2.0,,0.0,no
3 BHK Flat,2.26,Kandivali East,1190.0,18990.0,Ready to move,,unknown,,953.0,3.0,3.0,1.0,Yes
